Aircraft_Type,Landing_Stabilisation_Speed_Type_Lead,Landing_Stabilisation_Speed_Type_Follower,Min_Safe_Landing_Speed_Lead,Min_Safe_Landing_Speed_Follower,Apply_Gusting_Lead,Apply_Gusting_Follower,Local_Stabilisation_Distance_Lead,Local_Stabilisation_Distance_Follower,Steady_Procedural_Speed_Lead,Steady_Procedural_Speed_Follower,Final_Deceleration_Lead,Final_Deceleration_Follower,End_Initial_Deceleration_Distance_Follower,Initial_Procedural_Speed_Follower,Initial_Deceleration_Follower
A21N,4,4,120.5,127.7,1,1,4.5,4.5,160,162,34.6,34.6,12,180,9.8
A310,5,5,125.2,131.3,1,1,4.5,4.5,160,162,18.4,18.4,12,180,10.9
A319,4,4,117.9,124.1,1,1,4.5,4.5,160,162,21.3,21.3,12,180,9.8
A320,4,4,123.8,131,1,1,4.5,4.5,160,162,18.6,18.6,12,180,9.8
A321,4,4,129,137,1,1,4.5,4.5,160,162,20.8,20.8,12,180,9.8
A332,4,4,123.9,130.6,1,1,4.5,4.5,160,162,20.3,20.3,12,180,9.9
A333,4,4,129,134,1,1,4.5,4.5,160,162,22,22,12,180,9.9
A359,4,4,128,133,1,1,4.5,4.5,160,162,17.5,17.5,12,180,9.9
A388,4,4,132.2,137.2,1,1,5,5,160,162,18.2,18.2,12,180,7.7
B190,7,7,111.9,121.6,1,1,4.5,4.5,160,162,26.3,26.3,12,180,12.4
B350,7,7,101.9,112.2,1,1,4.5,4.5,160,162,24.6,24.6,12,180,12.4
B38M,0,0,132.3,141.2,1,1,4.5,4.5,160,162,26.3,26.3,12,180,9.8
B712,7,7,116.5,130.6,1,1,4.5,4.5,160,162,21.9,21.9,12,180,12.4
B732,7,7,110.1,115.2,1,1,4.5,4.5,160,162,19.9,19.9,12,180,12.4
B734,0,0,127.7,134,1,1,4.5,4.5,160,162,19.6,19.6,12,180,12.4
B736,0,0,122.6,127.6,1,1,4.5,4.5,160,162,18.2,18.2,12,180,9.8
B737,0,0,124.2,130.6,1,1,4.5,4.5,160,162,17.4,17.4,12,180,9.8
B738,0,0,130.6,141.8,1,1,4.5,4.5,160,162,27,27,12,180,9.8
B739,0,0,136.8,143.2,1,1,4.5,4.5,160,162,17.5,17.5,12,180,9.8
B744,0,0,134.2,144.2,1,1,4.5,4.5,160,162,33.2,33.2,12,180,9.9
B752,0,0,112.8,120.4,1,1,4.5,4.5,160,162,19.9,19.9,12,180,9.8
B762,7,7,116.8,124.8,1,1,4.5,4.5,160,162,32.9,32.9,12,180,10.9
B763,0,0,128.6,136.8,1,1,4.5,4.5,160,162,26.9,26.9,12,180,10.9
B772,0,0,125.1,134.5,1,1,4.5,4.5,160,162,22.2,22.2,12,180,9.9
B77L,0,0,125.8,135.5,1,1,4.5,4.5,160,162,25,25,12,180,9.9
B77W,0,0,132,142.1,1,1,4.5,4.5,160,162,26.7,26.7,12,180,9.9
B788,0,0,128.7,135.2,1,1,4.5,4.5,160,162,31.2,31.2,12,180,9.9
B789,0,0,134,140.8,1,1,4.5,4.5,160,162,30,30,12,180,9.9
BE20,7,7,103,112.2,1,1,4.5,4.5,160,162,20.8,20.8,12,180,12.4
BE40,7,7,109.8,118.5,1,1,4.5,4.5,160,162,33.4,33.4,12,180,12.4
C208,7,7,102.1,115.1,1,1,4.5,4.5,160,162,20.8,20.8,12,180,12.4
C25A,7,7,101.4,106.6,1,1,4.5,4.5,160,162,21.8,21.8,12,180,12.4
C25B,7,7,101.6,106.6,1,1,4.5,4.5,160,162,21.8,21.8,12,180,12.4
C25C,7,7,102.2,107.2,1,1,4.5,4.5,160,162,20.6,20.6,12,180,12.4
C441,7,7,94.8,108.9,1,1,4.5,4.5,160,162,21.8,21.8,12,180,12.4
C510,7,7,102.9,107.9,1,1,4.5,4.5,160,162,21,21,12,180,12.4
C525,7,7,109.2,114.2,1,1,4.5,4.5,160,162,16.7,16.7,12,180,12.4
C560,0,0,107.1,112.1,1,1,4.5,4.5,160,162,23.5,23.5,12,180,12.4
C56X,7,7,106.7,112.1,1,1,4.5,4.5,160,162,21.6,21.6,12,180,12.4
C650,7,7,115.6,120.6,1,1,4.5,4.5,160,162,22.9,22.9,12,180,12.4
C680,7,7,103.8,108.8,1,1,4.5,4.5,160,162,30.5,30.5,12,180,12.4
C68A,7,7,98.3,104,1,1,4.5,4.5,160,162,17.1,17.1,12,180,12.4
C750,0,0,119.6,124.7,1,1,4.5,4.5,160,162,28.9,28.9,12,180,12.4
CL30,7,7,109.9,115,1,1,4.5,4.5,160,162,20,20,12,180,12.4
CL35,8,8,115.5,127.6,1,1,4.5,4.5,160,162,21.1,21.1,12,180,12.4
CL60,0,0,113.9,124.3,1,1,4.5,4.5,160,162,23.5,23.5,12,180,12.4
CRJ1,0,0,116.5,131.3,1,1,4.5,4.5,160,162,22.6,22.6,12,180,12.4
CRJ2,0,0,117.3,130.8,1,1,4.5,4.5,160,162,24.1,24.1,12,180,12.4
CRJ7,7,7,114.5,126.2,1,1,4.5,4.5,160,162,26.5,26.5,12,180,12.4
CRJ9,7,7,114.6,128.8,1,1,4.5,4.5,160,162,19.6,19.6,12,180,12.4
CVLT,7,7,103.3,108.3,1,1,4.5,4.5,160,162,22.6,22.6,12,180,9.8
DC10,7,7,123.7,137.6,1,1,4.5,4.5,160,162,22.7,22.7,12,180,10.9
DH8A,0,0,106.9,111.9,1,1,4.5,4.5,160,162,25.2,25.2,12,180,12.4
DH8C,0,0,108,114.2,1,1,4.5,4.5,160,162,21.5,21.5,12,180,12.4
DH8D,7,7,108.4,121.4,1,1,4.5,4.5,160,162,23.1,23.1,12,180,12.4
E135,0,0,120.2,130.1,1,1,4.5,4.5,160,162,16.6,16.6,12,180,12.4
E145,0,0,114.9,130.8,1,1,4.5,4.5,160,162,19.7,19.7,12,180,12.4
E170,0,0,119.3,129.8,1,1,4.5,4.5,160,162,22.5,22.5,12,180,12.4
E190,6,6,119,135.2,1,1,4.5,4.5,160,162,27.2,27.2,12,180,12.4
E35L,7,7,115.2,122.9,1,1,4.5,4.5,160,162,20.6,20.6,12,180,12.4
E45X,0,0,122.3,132.4,1,1,4.5,4.5,160,162,20.7,20.7,12,180,12.4
E50P,7,7,99.8,104.8,1,1,4.5,4.5,160,162,22.8,22.8,12,180,12.4
E545,0,0,109.8,114.8,1,1,4.5,4.5,160,162,24.3,24.3,12,180,12.4
E55P,7,7,105.9,110.9,1,1,4.5,4.5,160,162,22.2,22.2,12,180,12.4
E75L,6,6,126.5,133.4,1,1,4.5,4.5,160,162,20.8,20.8,12,180,12.4
E75S,0,0,121.4,129.4,1,1,4.5,4.5,160,162,23,23,12,180,12.4
F2TH,7,7,106,116.7,1,1,4.5,4.5,160,162,27.1,27.1,12,180,12.4
F900,7,7,107.2,114.1,1,1,4.5,4.5,160,162,27.6,27.6,12,180,12.4
FA50,7,7,111.2,116.2,1,1,4.5,4.5,160,162,32.7,32.7,12,180,12.4
FA7X,7,7,108.2,113.2,1,1,4.5,4.5,160,162,29.3,29.3,12,180,12.4
G150,7,7,110.7,121.9,1,1,4.5,4.5,160,162,37.7,37.7,12,180,12.4
G280,7,7,112.9,117.9,1,1,4.5,4.5,160,162,22.6,22.6,12,180,12.4
GALX,7,7,119.5,125.7,1,1,4.5,4.5,160,162,22.4,22.4,12,180,12.4
GL5T,7,7,102.3,107.3,1,1,4.5,4.5,160,162,25.9,25.9,12,180,12.4
GLEX,7,7,105.9,110.9,1,1,4.5,4.5,160,162,24.5,24.5,12,180,12.4
GLF4,7,7,114.8,127.3,1,1,4.5,4.5,160,162,23.2,23.2,12,180,12.4
GLF5,7,7,101.9,114.7,1,1,4.5,4.5,160,162,33.2,33.2,12,180,12.4
GLF6,7,7,101.9,114.8,1,1,4.5,4.5,160,162,24,24,12,180,12.4
H25B,0,0,119.4,124.4,1,1,4.5,4.5,160,162,24,24,12,180,12.4
HA4T,7,7,113.3,118.3,1,1,4.5,4.5,160,162,32.7,32.7,12,180,12.4
J328,7,7,104.6,109.6,1,1,4.5,4.5,160,162,21.7,21.7,12,180,12.4
LJ35,7,7,111.5,118,1,1,4.5,4.5,160,162,19.8,19.8,12,180,12.4
LJ40,7,7,106.8,113.2,1,1,4.5,4.5,160,162,19.8,19.8,12,180,12.4
LJ45,7,7,112.5,117.5,1,1,4.5,4.5,160,162,20,20,12,180,12.4
LJ60,7,7,126.9,131.9,1,1,4.5,4.5,160,162,25.3,25.3,12,180,12.4
LJ70,7,7,109.5,114.5,1,1,4.5,4.5,160,162,18.8,18.8,12,180,12.4
LJ75,7,7,107.4,114.9,1,1,4.5,4.5,160,162,28.4,28.4,12,180,12.4
MD11,7,7,130.8,140.9,1,1,4.5,4.5,160,162,20.2,20.2,12,180,10.9
MD83,7,7,116.2,128.4,1,1,4.5,4.5,160,162,15.9,15.9,12,180,9.8
MD88,0,0,130.7,137.2,1,1,4.5,4.5,160,162,19.8,19.8,12,180,9.8
P180,7,7,120.8,125.8,1,1,4.5,4.5,160,162,14.3,14.3,12,180,12.4
PC12,7,7,102.2,107.2,1,1,4.5,4.5,160,162,23.1,23.1,12,180,12.4
